img_id,class,x_center,y_center,x_min,y_min,x_max,y_max,width,height
image_1431,0,0.557692,0.539663,215,205,247,242,31,36
image_1431,0,0.782452,0.497596,288,195,362,218,73,23
image_1431,0,0.325721,0.610577,117,244,153,264,36,20
image_1431,0,0.466346,0.680288,186,268,200,296,14,28
image_1431,0,0.514423,0.828125,193,329,234,359,40,29
image_1431,0,0.949519,0.725962,373,294,416,310,42,16
image_1431,0,0.84976,0.322115,318,126,389,140,70,14
image_1431,0,0.027644,0.518029,0,204,21,226,21,22
image_1431,0,0.266827,0.75,99,303,122,320,22,17
image_1431,0,0.288462,0.34375,111,125,129,160,17,35
image_1431,0,0.421875,0.163462,167,54,183,82,16,28
image_1434,0,0.677885,0.411058,264,151,300,191,35,40
image_1434,0,0.969952,0.282452,391,89,416,145,24,56
image_1434,0,0.771635,0.248798,252,89,390,117,138,27
image_1434,0,0.175481,0.242788,30,81,116,119,86,37
image_1434,0,0.759615,0.810096,281,323,349,349,68,26
image_1434,0,0.438702,0.80649,164,323,200,346,36,22
image_1434,0,0.221154,0.676683,70,266,113,297,42,30
image_1434,0,0.15625,0.746394,47,300,82,319,35,18
image_1434,0,0.153846,0.808894,52,325,75,347,23,22
image_1434,0,0.126202,0.889423,37,353,67,385,30,31
image_1434,0,0.534856,0.885817,212,353,233,382,21,29
image_1434,0,0.625,0.889423,252,353,267,385,14,31
image_1434,0,0.71875,0.581731,182,232,416,252,234,20
image_1434,0,0.377404,0.402644,148,147,165,186,16,39
image_1434,0,0.25,0.454327,95,174,112,203,17,28
image_1434,0,0.168269,0.453125,60,173,78,203,17,30
image_1434,0,0.153846,0.592548,13,238,114,254,100,16
image_1434,0,0.36899,0.66226,144,262,161,289,16,27
image_1434,0,0.879808,0.741587,357,294,375,323,17,29
image_1434,0,0.591346,0.751202,215,303,276,322,61,18
image_1435,0,0.688702,0.388221,157,143,416,179,258,35
image_1435,0,0.592548,0.53125,232,202,260,239,27,37
image_1435,0,0.451923,0.140625,156,41,219,75,63,33
image_1435,0,0.299279,0.503606,96,202,152,217,55,15
image_1435,0,0.189904,0.134615,66,38,92,72,26,34
image_1436,0,0.146635,0.502404,49,194,73,223,23,29
image_1436,0,0.526442,0.504808,198,199,238,221,40,22
image_1436,0,0.171875,0.620192,27,246,115,268,88,22
image_1436,0,0.471154,0.608173,170,244,222,261,52,17
image_1437,0,0.253606,0.697115,96,271,115,307,18,35
image_1437,0,0.669471,0.691106,270,279,286,296,16,16
image_1438,0,0.405048,0.264423,132,95,203,124,70,29
image_1438,0,0.548077,0.433894,212,169,244,190,31,21
image_1438,0,0.657452,0.076923,131,14,416,49,284,35
image_1439,0,0.495192,0.491587,181,187,229,222,48,35
image_1439,0,0.471154,0.606971,180,231,212,273,31,42
image_1439,0,0.68149,0.161058,270,54,295,80,24,26
image_1439,0,0.0625,0.28726,14,99,37,140,23,41
image_1442,0,0.072115,0.435096,2,166,56,195,54,29
image_1442,0,0.09976,0.608173,31,238,52,267,21,29
image_1442,0,0.563702,0.411058,208,163,261,179,53,16
image_1443,0,0.866587,0.396635,326,149,395,181,68,31
image_1443,0,0.591346,0.77524,228,307,262,336,34,29
image_1443,0,0.597356,0.862981,235,340,262,378,27,37
image_1443,0,0.538462,0.127404,186,35,262,70,75,35
image_1443,0,0.021635,0.411058,1,158,17,184,16,26
image_1443,0,0.179087,0.626202,57,251,92,270,35,18
image_1443,0,0.751202,0.253606,291,90,333,121,42,30
image_1447,0,0.179087,0.645433,59,239,90,298,30,59
image_1447,0,0.707933,0.6875,285,271,304,300,18,28
image_1447,0,0.615385,0.36899,216,144,296,161,80,16
image_1449,0,0.040865,0.293269,1,101,31,141,29,40
image_1449,0,0.448317,0.853365,146,335,225,373,79,37
image_1449,0,0.280048,0.66226,98,257,134,294,36,36
image_1449,0,0.418269,0.348558,167,132,179,158,11,26
image_1449,0,0.966346,0.741587,387,290,416,327,28,36
image_1450,0,0.895433,0.272837,356,84,389,143,33,59
image_1450,0,0.759615,0.543269,303,202,327,248,23,46
image_1450,0,0.177885,0.875,57,345,91,382,34,37
image_1453,0,0.561298,0.245192,163,83,303,119,140,35
image_1453,0,0.614183,0.383413,163,145,348,172,185,27
image_1453,0,0.191106,0.233173,57,82,102,111,44,28
image_1455,0,0.379808,0.811298,117,327,199,346,81,18
image_1455,0,0.710337,0.336538,272,130,319,148,47,17
image_1456,0,0.737981,0.108173,278,34,336,54,57,20
image_1457,0,0.174279,0.567308,44,213,100,259,55,46
image_1457,0,0.34375,0.115385,96,35,189,61,92,26
image_1457,0,0.456731,0.573317,180,219,200,256,20,36
image_1457,0,0.444712,0.686298,178,267,192,303,14,35
image_1457,0,0.816106,0.573317,330,218,349,257,18,39
image_1457,0,0.219952,0.846154,80,335,102,369,21,34
image_1457,0,0.516827,0.680288,203,263,226,301,22,37
image_1460,0,0.264423,0.540865,85,196,134,252,49,55
image_1460,0,0.753606,0.216346,283,69,344,109,61,40
image_1460,0,0.83774,0.348558,311,134,384,156,73,22
image_1460,0,0.527644,0.814904,201,327,236,350,35,22
image_1460,0,0.784856,0.811298,282,329,371,345,88,16
image_1460,0,0.066106,0.510817,13,197,42,226,29,29
image_1460,0,0.045673,0.205529,1,69,36,102,35,33
image_1460,0,0.409856,0.078125,158,8,183,56,24,47
image_1460,0,0.242788,0.046875,48,4,152,34,104,29
image_1460,0,0.424279,0.352163,141,135,212,156,70,21
image_1460,0,0.549279,0.199519,174,71,282,93,107,22
image_1467,0,0.094952,0.580529,28,225,50,258,21,33
image_1470,0,0.022837,0.746394,1,280,18,339,16,59
image_1470,0,0.891827,0.34976,359,122,382,169,22,47
image_1470,0,0.936298,0.50601,378,192,400,229,22,36
image_1470,0,0.891827,0.77524,362,303,379,340,17,36
image_1473,0,0.247596,0.829327,72,333,133,356,61,22
image_1473,0,0.305288,0.717548,112,273,140,323,28,50
image_1473,0,0.081731,0.841346,7,335,61,364,54,28
image_1476,0,0.866587,0.18149,344,58,377,91,33,33
image_1476,0,0.926683,0.354567,356,133,415,160,59,27
image_1476,0,0.954327,0.520433,378,200,416,233,37,33
image_1476,0,0.426683,0.915865,158,345,197,415,39,69
image_1476,0,0.159856,0.177885,60,45,73,103,13,57
image_1476,0,0.391827,0.040865,148,0,177,32,28,31
image_1476,0,0.211538,0.036058,74,1,100,29,26,28
image_1476,0,0.100962,0.032452,28,1,56,26,28,24
image_1476,0,0.390625,0.185096,153,49,171,104,18,54
image_1476,0,0.236779,0.75601,85,300,112,329,27,29
image_1476,0,0.481971,0.745192,190,287,209,331,18,43
image_1483,0,0.377404,0.832933,142,319,171,374,29,55
image_1483,0,0.713942,0.836538,281,323,311,371,29,48
image_1484,0,0.22476,0.362981,67,133,120,169,53,35
image_1484,0,0.045673,0.830529,1,330,36,361,35,30
image_1484,0,0.126202,0.258413,37,89,67,124,30,35
image_1484,0,0.221154,0.491587,75,192,109,217,34,24
image_1485,0,0.441106,0.579327,173,202,194,280,21,78
image_1485,0,0.591346,0.584135,231,202,260,284,28,81
image_1485,0,0.75,0.585337,297,199,326,288,29,88
image_1485,0,0.137019,0.329327,23,124,89,150,66,26
image_1485,0,0.174279,0.71274,40,282,105,309,65,27
image_1485,0,0.341346,0.721154,125,287,157,313,31,26
image_1485,0,0.365385,0.508413,132,198,172,223,40,24
image_1486,0,0.627404,0.365385,197,123,325,181,127,57
image_1486,0,0.594952,0.09976,238,24,257,59,18,35
image_1486,0,0.486779,0.871394,189,338,216,386,27,48
image_1488,0,0.5625,0.182692,222,48,245,102,23,54
image_1488,0,0.394231,0.365385,156,134,172,170,16,35
image_1488,0,0.401442,0.459135,153,174,179,208,26,34
image_1488,0,0.164663,0.53125,53,212,82,229,29,17
image_1488,0,0.18149,0.59375,56,235,93,258,36,23
image_1488,0,0.03125,0.590144,2,228,23,261,20,33
image_1488,0,0.165865,0.717548,30,286,106,310,75,24
image_1488,0,0.889423,0.361779,349,130,390,171,40,41
image_1488,0,0.811298,0.459135,327,173,346,209,18,35
image_1488,0,0.951923,0.582933,377,231,414,254,37,22
image_1488,0,0.981971,0.640625,400,255,416,277,15,21
image_1488,0,0.836538,0.72476,338,289,356,314,17,24
image_1488,0,0.545673,0.572115,212,230,241,244,29,14
image_1488,0,0.804087,0.155048,253,53,416,75,163,22
image_1488,0,0.402644,0.152644,114,52,219,74,105,22
image_1488,0,0.094952,0.438702,21,171,57,193,36,21
image_1488,0,0.617788,0.353365,236,133,276,159,40,26
image_1488,0,0.185096,0.15024,39,52,114,71,74,18
image_1488,0,0.97476,0.457933,395,173,416,208,21,35
image_1488,0,0.897837,0.786058,364,317,383,337,18,20
image_1488,0,0.143029,0.647837,28,262,91,277,62,15
image_1490,0,0.527644,0.353365,193,125,244,167,50,42
image_1490,0,0.770433,0.355769,296,131,345,163,48,31
image_1490,0,0.183894,0.257212,52,90,99,124,47,34
image_1490,0,0.067308,0.354567,12,131,44,162,31,30
image_1490,0,0.042067,0.425481,2,165,31,189,29,23
image_1490,0,0.03726,0.610577,4,236,27,271,22,34
image_1490,0,0.370192,0.520433,110,207,196,226,86,18
image_1490,0,0.265625,0.784856,88,313,132,340,44,27
image_1490,0,0.926683,0.805288,365,314,406,354,41,40
image_1490,0,0.677885,0.520433,210,208,354,225,144,16
image_1490,0,0.526442,0.248798,181,93,255,112,74,18
image_1490,0,0.947115,0.252404,371,96,415,113,43,16
image_1490,0,0.75,0.186298,287,66,336,88,49,22
image_1490,0,0.524038,0.170673,179,63,255,78,75,14
image_1490,0,0.241587,0.598558,63,242,138,256,74,14
image_1491,0,0.265625,0.28125,89,101,131,132,42,31
image_1491,0,0.316106,0.456731,118,165,145,215,27,49
image_1491,0,0.325721,0.872596,111,351,159,374,48,22
image_1491,0,0.157452,0.731971,49,289,82,319,33,29
image_1491,0,0.390625,0.139423,147,28,177,86,29,57
image_1492,0,0.495192,0.692308,194,267,216,309,22,42
image_1492,0,0.429087,0.802885,168,317,189,351,21,34
image_1492,0,0.814904,0.546875,327,218,350,236,22,18
image_1493,0,0.622596,0.338942,235,119,281,161,46,42
image_1493,0,0.483173,0.758413,179,301,222,328,43,27
image_1493,0,0.332933,0.879808,117,353,160,379,42,26
image_1493,0,0.810096,0.860577,325,336,348,379,23,43
image_1495,0,0.293269,0.277644,109,98,133,131,23,33
image_1495,0,0.543269,0.364183,213,135,237,168,23,33
image_1495,0,0.199519,0.509615,63,196,101,226,37,29
image_1495,0,0.399038,0.817308,152,321,178,359,26,37
image_1495,0,0.748798,0.263221,297,99,325,118,27,18
image_1495,0,0.859375,0.433894,348,169,366,190,18,21
image_1495,0,0.745192,0.793269,292,321,326,338,34,16
image_1496,0,0.479567,0.448317,181,169,216,202,35,33
image_1496,0,0.483173,0.621394,187,232,213,283,26,50
image_1496,0,0.317308,0.438702,120,164,144,200,23,35
image_1496,0,0.284856,0.637019,108,247,129,281,21,34
image_1496,0,0.94351,0.668269,369,264,416,290,47,26
image_1496,0,0.90625,0.513221,362,198,391,228,29,29
image_1496,0,0.903846,0.359375,342,138,408,160,66,21
image_1497,0,0.177885,0.356971,47,124,101,172,54,48
image_1497,0,0.480769,0.466346,187,179,211,208,23,29
image_1497,0,0.829327,0.831731,320,329,369,363,49,34
image_1497,0,0.536058,0.231971,132,83,314,108,182,24
image_1497,0,0.819712,0.241587,324,90,358,111,34,21
image_1497,0,0.042067,0.478365,6,176,27,220,21,43
image_1499,0,0.378606,0.304087,135,107,180,146,44,39
image_1499,0,0.53125,0.305288,196,109,245,143,49,34
image_1499,0,0.432692,0.594952,165,232,193,262,28,29
image_1499,0,0.65024,0.802885,232,314,307,354,74,40
image_1499,0,0.177885,0.284856,51,108,97,129,46,21
image_1499,0,0.33774,0.387019,120,151,159,169,39,17
image_1499,0,0.239183,0.5,87,190,112,225,24,34
image_1499,0,0.048077,0.800481,1,314,39,352,37,37
image_1499,0,0.63101,0.211538,248,70,277,104,29,34
image_1499,0,0.257212,0.227163,99,81,115,106,16,24
image_1500,0,0.061298,0.219952,10,69,40,114,29,44
image_1500,0,0.532452,0.435096,202,163,241,198,39,35
image_1500,0,0.9375,0.4375,364,161,416,202,52,40
image_1500,0,0.816106,0.634615,321,245,358,281,36,35
image_1500,0,0.579327,0.533654,225,205,257,239,31,34
image_1500,0,0.293269,0.694712,99,273,143,305,43,31
image_1500,0,0.046875,0.615385,1,239,37,273,35,34
image_1500,0,0.022837,0.694712,1,276,18,302,16,26
image_1500,0,0.228365,0.778846,78,309,110,338,31,29
image_1500,0,0.395433,0.328125,157,115,172,157,15,42
image_1500,0,0.864183,0.216346,347,69,372,109,24,40
image_1500,0,0.570913,0.847356,226,332,247,373,21,41
image_1500,0,0.393029,0.844952,150,333,177,369,27,36
image_1501,0,0.215144,0.554087,78,211,100,250,22,39
image_1501,0,0.140625,0.72476,41,287,75,316,33,29
image_1501,0,0.680288,0.558894,270,211,294,252,23,41
image_1501,0,0.77524,0.649038,306,253,337,285,30,31
image_1501,0,0.847356,0.320913,343,117,362,148,18,30
image_1501,0,0.015625,0.727163,1,288,11,315,10,27
image_1507,0,0.115385,0.705529,32,277,64,310,31,33
image_1507,0,0.80649,0.079327,258,20,411,46,152,26
image_1507,0,0.147837,0.080529,1,20,122,47,120,27
image_1507,0,0.68149,0.711538,274,279,291,311,16,31
image_1507,0,0.425481,0.070913,134,19,220,38,86,18
image_1508,0,0.751202,0.734375,299,284,326,326,27,42
image_1510,0,0.484375,0.614183,180,233,222,278,42,44
image_1510,0,0.859375,0.721154,346,278,368,321,21,42
image_1510,0,0.731971,0.920673,293,365,315,400,22,34
image_1510,0,0.841346,0.359375,335,134,364,164,29,30
image_1511,0,0.769231,0.674279,262,268,378,293,115,24
image_1511,0,0.496394,0.617788,176,246,235,266,59,20
image_1513,0,0.301683,0.528846,110,203,141,235,30,31
image_1513,0,0.480769,0.532452,171,205,227,238,55,33
image_1513,0,0.847356,0.633413,310,245,395,280,85,35
image_1513,0,0.800481,0.754808,304,292,362,336,57,43
image_1513,0,0.491587,0.298077,192,109,217,138,24,29
image_1513,0,0.472356,0.418269,185,163,208,183,22,20
image_1513,0,0.296875,0.432692,109,161,137,197,27,35
image_1513,0,0.198317,0.310096,68,104,95,153,27,48
image_1513,0,0.030048,0.135817,1,42,23,69,22,27
image_1513,0,0.670673,0.534856,261,206,296,239,34,33
image_1513,0,0.947115,0.284856,371,109,415,128,43,18
image_1513,0,0.84375,0.151442,329,45,372,79,42,34
image_1516,0,0.447115,0.424279,130,169,240,184,109,15
image_1516,0,0.480769,0.526442,191,203,208,233,16,29
image_1516,0,0.655048,0.521635,260,203,284,231,24,28
image_1516,0,0.953125,0.417067,377,166,416,179,39,13
image_1516,0,0.703125,0.342548,270,134,314,150,44,16
image_1516,0,0.56851,0.516827,211,209,262,221,50,11
image_1518,0,0.331731,0.408654,123,155,153,184,29,29
image_1518,0,0.727163,0.487981,286,193,317,213,30,20
image_1518,0,0.820913,0.770433,318,303,363,338,44,35
image_1518,0,0.641827,0.776442,252,303,281,341,29,37
image_1518,0,0.707933,0.873798,282,346,307,379,24,33
image_1518,0,0.799279,0.645433,291,259,374,278,82,18
image_1518,0,0.168269,0.665865,59,259,79,293,20,34
image_1520,0,0.317308,0.866587,103,339,161,382,57,42
image_1520,0,0.966346,0.651442,387,248,416,292,28,43
image_1520,0,0.015625,0.302885,1,104,11,148,10,43
image_1520,0,0.723558,0.257212,268,97,334,117,66,20
image_1520,0,0.94351,0.104567,369,22,416,63,47,41
image_1520,0,0.109375,0.109375,1,26,89,65,88,39
image_1520,0,0.408654,0.102163,93,25,247,58,153,33
image_1525,0,0.407452,0.534856,138,202,200,243,61,41
image_1525,0,0.096154,0.728365,2,287,78,317,75,29
image_1525,0,0.622596,0.53125,231,199,286,242,54,43
image_1525,0,0.894231,0.820913,340,321,404,360,63,39
image_1525,0,0.783654,0.538462,314,205,338,243,23,37
image_1525,0,0.770433,0.325721,307,112,334,157,27,44
image_1525,0,0.586538,0.320913,230,108,256,157,26,48
image_1525,0,0.875,0.644231,352,250,375,286,23,35
image_1525,0,0.846154,0.731971,326,289,378,319,52,29
image_1526,0,0.420673,0.519231,131,204,218,228,86,23
image_1526,0,0.53125,0.581731,193,226,248,258,54,31
image_1526,0,0.590144,0.655048,226,257,263,287,36,30
image_1526,0,0.454327,0.651442,171,255,206,285,35,29
image_1526,0,0.129808,0.734375,33,287,75,323,42,35
image_1526,0,0.824519,0.80649,293,321,391,348,98,27
image_1526,0,0.444712,0.426683,164,167,206,188,42,21
image_1526,0,0.802885,0.567308,316,228,352,244,35,16
image_1526,0,0.896635,0.582933,363,229,383,256,20,27
image_1537,0,0.663462,0.403846,234,156,318,179,83,23
image_1537,0,0.941106,0.40024,370,153,413,178,42,24
image_1537,0,0.954327,0.252404,379,89,414,121,35,31
image_1537,0,0.758413,0.262019,281,95,348,121,67,26
image_1537,0,0.69351,0.567308,272,214,305,258,33,43
image_1537,0,0.461538,0.862981,178,338,204,380,26,42
image_1537,0,0.364183,0.158654,141,51,162,80,21,29
image_1538,0,0.447115,0.539663,166,207,204,240,37,33
image_1538,0,0.263221,0.453125,88,173,130,203,42,29
image_1538,0,0.330529,0.63101,118,247,157,278,39,30
image_1538,0,0.03125,0.640625,1,251,24,281,22,30
image_1538,0,0.22476,0.640625,76,248,111,284,35,36
image_1538,0,0.966346,0.456731,387,178,416,202,28,23
image_1540,0,0.96274,0.58774,384,210,415,277,30,67
image_1542,0,0.139423,0.539663,46,201,69,246,23,44
image_1542,0,0.082933,0.262019,3,93,66,123,62,29
image_1542,0,0.362981,0.651442,137,252,165,288,28,35
image_1542,0,0.191106,0.75601,59,292,100,337,41,44
image_1548,0,0.08774,0.448317,0,177,71,194,70,16
image_1548,0,0.734375,0.657452,283,264,327,283,44,18
image_1548,0,0.913462,0.453125,344,180,416,196,72,16
image_1548,0,0.055288,0.794471,8,316,36,343,28,27
image_1548,0,0.382212,0.508413,93,203,225,218,132,15
image_1550,0,0.200721,0.236779,72,72,93,125,21,53
image_1550,0,0.385817,0.34375,146,130,173,156,27,26
image_1550,0,0.286058,0.671875,108,261,130,297,22,35
image_1560,0,0.776442,0.673077,291,268,353,291,61,22
image_1560,0,0.396635,0.58774,154,234,176,253,22,18
image_1560,0,0.545673,0.489183,209,190,244,217,34,27
image_1560,0,0.692308,0.484375,267,187,309,215,42,27
image_1560,0,0.890625,0.483173,352,186,388,215,36,28
image_1560,0,0.332933,0.324519,127,117,150,151,22,34
image_1560,0,0.079327,0.765625,11,309,54,327,43,18
image_1560,0,0.138221,0.866587,49,345,65,376,16,30
image_1560,0,0.637019,0.763221,223,309,305,325,81,16
image_1560,0,0.242788,0.40024,41,157,159,174,118,16
image_1560,0,0.932692,0.866587,379,344,395,377,16,33
image_1560,0,0.975962,0.417067,396,157,416,188,20,30
image_1560,0,0.070913,0.331731,18,124,39,152,21,28
image_1560,0,0.048077,0.590144,10,236,30,253,20,16
image_1561,0,0.216346,0.310096,78,114,101,143,23,29
image_1561,0,0.471154,0.701923,187,273,205,310,17,37
image_1561,0,0.679087,0.706731,271,279,294,309,22,29
image_1561,0,0.094952,0.191106,30,61,49,98,18,36
image_1562,0,0.34976,0.388221,129,145,162,176,33,30
image_1562,0,0.558894,0.385817,217,144,247,175,29,30
image_1562,0,0.875,0.382212,312,145,416,173,104,28
image_1562,0,0.576923,0.308894,223,114,255,141,31,27
image_1562,0,0.097356,0.387019,29,143,52,177,22,34
image_1562,0,0.335337,0.567308,127,217,152,255,24,37
image_1562,0,0.669471,0.567308,263,218,293,254,29,35
image_1562,0,0.561298,0.740385,218,295,248,321,30,26
image_1562,0,0.421875,0.741587,150,296,200,321,50,24
image_1562,0,0.188702,0.825721,66,323,91,362,24,39
image_1562,0,0.253606,0.852163,92,343,119,364,27,21
